h	k	l	d (Å)	F(real)	F(imag)	|F|	2θ	I		M ID(λ)	Phase
3	-3	-6	0.906049	84.09515	-128.968541	153.964	116.46042	1.39796	2	1	1
10	0	-2	1.503463	-116.305824	-11.891997	116.912	61.64073	1.39151	2	1	1
6	-2	2	1.333245	-88.522038	-101.818057	134.919	70.58637	1.38925	2	1	1
3	3	-4	1.073372	-24.495723	160.315244	162.176	91.72025	1.37437	2	1	1
3	3	-6	0.906049	9.543944	152.090619	152.39	116.46042	1.36952	2	1	1
5	-1	2	1.803888	-55.657118	73.353388	92.0784	50.55718	1.35146	2	1	1
2	-4	2	0.932863	-152.146241	-30.709144	155.214	111.32589	1.32809	2	1	1
4	2	1	1.639021	-102.11411	-9.49452	102.555	56.06515	1.32494	2	1	1
1	1	6	1.129622	-21.764394	152.785938	154.328	85.98563	1.31767	2	1	1
9	-3	-4	0.960598	47.027648	-150.763242	157.928	106.6224	1.31508	2	1	1
1	-1	6	1.129622	46.133497	-146.749723	153.83	85.98563	1.30919	2	1	1
0	2	3	1.525537	105.16755	36.516198	111.327	60.65402	1.30781	2	1	1
2	-2	4	1.268539	107.683789	86.634426	138.208	74.77913	1.30502	2	1	1
7	1	-8	0.901789	-30.037228	144.488962	147.578	117.34009	1.30168	2	1	1
12	0	-1	1.259275	135.731071	27.027149	138.396	75.42483	1.28835	2	1	1
12	2	1	0.9954	-156.753133	-19.454402	157.956	101.40292	1.27989	2	1	1
7	-1	-8	0.901789	39.142746	-140.510258	145.861	117.34009	1.27156	2	1	1
11	1	1	1.192645	22.35609	-142.589182	144.331	80.46223	1.25844	2	1	1
4	-2	1	1.639021	-97.111095	-22.322865	99.6437	56.06515	1.2508	2	1	1
1	-3	4	1.047892	-105.400956	114.891584	155.915	94.62994	1.25062	2	1	1
3	-3	-4	1.073372	43.013243	-148.491277	154.596	91.72025	1.24889	2	1	1
4	-4	-2	0.934515	-148.512437	-25.38619	150.667	111.02998	1.24726	2	1	1
6	0	7	0.873882	-133.856463	-26.318473	136.419	123.63925	1.24115	2	1	1
12	-2	1	0.9954	-146.772294	-50.242292	155.133	101.40292	1.23456	2	1	1
6	2	-6	1.036521	154.527859	13.668856	155.131	96.0018	1.23276	2	1	1
8	2	-5	1.096156	-143.945589	-48.944681	152.039	89.29207	1.23219	2	1	1
11	-1	1	1.192645	-35.489809	138.295415	142.777	80.46223	1.23148	2	1	1
0	-2	3	1.525537	107.395334	-10.178786	107.877	60.65402	1.22801	2	1	1
8	2	3	1.085775	147.854175	37.221012	152.467	90.37934	1.2272	2	1	1
8	2	-2	1.344609	-117.235803	44.164733	125.279	69.90228	1.22152	2	1	1
10	2	2	1.053454	148.696313	37.720912	153.406	93.97596	1.21402	2	1	1
6	-2	-6	1.036521	143.47643	55.467706	153.825	96.0018	1.21209	2	1	1
8	2	-4	1.194219	-136.742843	-35.14569	141.187	80.33452	1.20712	2	1	1
2	2	5	1.116277	-142.167186	-41.860146	148.202	87.26948	1.19605	2	1	1
2	2	0	1.899139	-51.859813	-62.706191	81.3726	47.85784	1.19574	2	1	1
14	0	-5	0.98094	149.182697	27.392561	151.677	103.49007	1.1897	2	1	1
0	0	8	0.906618	-138.29737	-32.394394	142.041	116.3445	1.18778	2	1	1
4	2	-3	1.500265	98.135606	44.149602	107.609	61.7865	1.17272	2	1	1
8	-2	3	1.085775	146.120487	18.165401	147.245	90.37934	1.14458	2	1	1
8	-2	-5	1.096156	-146.367939	0.511101	146.369	89.29207	1.14199	2	1	1
4	-4	0	0.949569	-55.162436	-134.794195	145.645	108.42787	1.13536	2	1	1
5	3	4	0.952313	-22.81311	144.086942	145.882	107.97108	1.13446	2	1	1
8	-2	-4	1.194219	-136.191824	-12.86661	136.798	80.33452	1.13324	2	1	1
2	2	4	1.268539	126.258267	-24.840826	128.679	74.77913	1.13127	2	1	1
4	-2	-3	1.500265	103.764558	-19.275093	105.54	61.7865	1.12805	2	1	1
1	3	4	1.047892	-38.86926	-142.364954	147.576	94.62994	1.12042	2	1	1
4	0	-8	0.940237	137.840915	39.473218	143.381	110.02114	1.11745	2	1	1
10	-2	2	1.053454	146.111655	16.350936	147.024	93.97596	1.1151	2	1	1
9	1	-5	1.201616	38.238447	-129.08216	134.627	79.74035	1.11016	2	1	1
5	1	2	1.803888	-15.277818	-81.993889	83.4051	50.55718	1.10885	2	1	1
4	-2	-6	1.055549	-129.999873	-67.441093	146.452	93.73239	1.1077	2	1	1
