h	k	l	d_spacing (Å)	theta (deg)	phi (deg)	delta (deg)	nu (deg)	qerror	errcode	hkl_back
10	0	2	1.2476	10.63	0.0	0.0	60.0	0.222	0	[9.5592 0.     1.9119]
8	0	-8	0.9148	106.5981	0.0	0.0	60.0	2.0541	0	[ 5.6075 -0.     -5.6075]
7	3	0	1.1108	18.1771	0.0	0.0	36.3543	4.7928	0	[7. 0. 0.]
1	3	-2	1.2379	0.0	0.0	0.0	0.0	5.0756	0	[0. 0. 0.]
6	0	-6	1.2197	106.5981	0.0	0.0	60.0	0.337	0	[ 5.6075 -0.     -5.6075]
3	-3	2	1.1705	46.2933	0.0	60.0	0.0002	0.6235	0	[ 2.9873 -2.6098  1.9915]
11	1	-3	1.2549	61.3973	0.0	0.0	59.0522	1.5976	0	[11. -0. -3.]
6	-2	-4	1.2797	105.8467	0.0	54.1251	35.0094	0.0	0	[ 6. -2. -4.]
11	-1	-3	1.2549	65.1478	0.0	35.8539	55.4899	0.0	0	[11. -1. -3.]
15	1	-5	0.9075	68.3082	0.0	0.0	60.0	2.4994	0	[10.7201 -0.     -3.5734]
9	-1	-1	1.5496	40.2192	0.0	27.2123	43.4753	0.0	0	[ 9. -1. -1.]
3	-3	0	1.2661	90.0006	0.0	53.6506	0.0	1.1364	0	[ 4.5697 -2.4271 -0.    ]
12	0	1	1.1542	21.1752	0.0	0.0	60.0	0.6295	0	[10.6125  0.      0.8843]
10	0	5	0.916	0.0	0.0	0.0	60.0	2.1787	0	[8.1708 0.     2.8822]
9	1	-1	1.5496	35.7204	0.0	0.0	45.5399	1.5976	0	[ 9. -0. -1.]
15	-1	-5	0.9075	79.2012	0.0	60.0	60.0	1.3145	0	[12.2814 -1.3049 -4.0937]
7	-3	0	1.1108	65.7559	0.0	60.0	13.3721	0.7923	0	[ 6.3192 -2.539   0.    ]
4	0	-6	1.2511	116.1666	0.0	0.0	60.0	0.2079	0	[ 3.8344 -0.     -5.7516]
14	0	3	0.8786	9.49	0.0	0.0	60.0	2.3367	0	[ 9.4253 -0.      2.0197]
1	1	-8	0.8959	0.0	0.0	0.0	0.0	7.0133	0	[0. 0. 0.]
6	2	-4	1.2797	86.4349	0.0	0.0	45.5554	3.1952	0	[ 6. -0. -4.]
1	-1	-8	0.8959	0.0	0.0	7.9113	0.0	6.9371	0	[-0.0294 -0.4148  0.0549]
3	1	5	1.2338	0.0	0.0	0.0	60.0	2.946	0	[8.1708 0.     2.8822]
3	1	-3	2.073	92.112	0.0	0.0	31.0311	1.5976	0	[ 3.0002 -0.     -3.    ]
6	2	-1	1.5514	34.5871	0.0	0.0	29.9599	3.1952	0	[ 6. -0. -1.]
3	-1	5	1.2338	0.0	0.0	60.0	55.0664	1.857	0	[ 6.9918 -1.4944  4.114 ]
8	0	2	1.4832	2.8792	0.0	0.0	52.2029	0.0	0	[ 8. -0.  2.]
3	-1	-3	2.073	98.3393	0.0	22.4824	29.7979	0.0	0	[ 3. -1. -3.]
6	-2	-1	1.5514	62.8037	0.0	45.7673	22.1399	0.0	0	[ 6. -2. -1.]
2	2	-2	1.7322	86.8721	0.0	0.0	20.5453	3.1952	0	[ 1.9999 -0.     -2.    ]
3	3	0	1.2661	7.6853	0.0	0.0	15.3669	4.7928	0	[ 3.0001 -0.     -0.    ]
13	1	-7	0.8674	85.8385	0.0	0.0	60.0	2.7604	0	[ 8.8579 -0.     -4.7699]
2	4	-4	0.8713	0.0	0.0	0.0	0.0	7.2112	0	[0. 0. 0.]
